StudyID,NodeID,Description,LOPATarget,LOPATargetDiscussion,Status,CreatedDate,CreatedBy,FrequencyEstimation,ApproxLatitude,ApproxLongitude,StudyForInhalation,StudyForFire,ReliefCalculation,StoragePressure,StorageTemperature,ExitPressure,ExitTemperature,ReliefRate,CatastrophicRelease,DischargeDiameter,ReleaseElevation,ReleaseOrientation,RelievingPhase,MaximumVolume,MolarComposition,Basis,MaximumMass,AvailablePoolArea,IndoorRelease,LOPAID,CapitalProject,ProcessingLog,DistNonProcPlantPop,ProcAreaPopDensity,Site,IncludeDiagnostics,PersonnelAtReleaseElevation,WeatherCondition,NightProcAreaPopDensity,ProductionRoomVol,ProductionRoomACH,ProductionRoomVentDiameter,ProductionRoomVentOrientation,ProductionRoomVentElevation
1403,439,Methylamine / Water relief,,,0,2024-02-14 14:22:37.483,u773253,,51.097916,3.725763,True,True,True,,,67.09,43.742,18891.6882,False,6.0,12.0,6,0,,False,Mass,8587.131,,False,,,,50.0,6.0,Ghent North,True,False,night,,,,,,
1404,438,"The methanol/potassium formate salt mixture from the hot side of heat exchanger 2530L would leak out of the cleaning/draining valves. 
",,Calculation is performed on H10-13088 with DN25.,21,2024-02-14 10:09:01.187,u331462,0.0,,,True,True,False,113.0,65.0,,,,False,1.0,1.0,6,0,,False,Mass,21302.0,,False,H10-13088 and H10-13089 or H10-13091 or H10-13090 are left open for example after cleaning. ,,,30.0,0.6,,False,False,both,0.2,,,,,
1406,421,"There is a leak on the 6"" outlet line from the spheres upstream of the XV remote operated block valves due to corrosion in the line. Closing the EV does not stop the leak. The 6"" line can be modeled as having a 0.6"" leak per Alklyamines Process Safety Guidance. ",,,0,2024-02-14 13:16:43.980,u777412,,30.591321,-87.136378,True,True,False,60.0,4.44,,,,False,0.6,0.30487,0,0,,False,Mass,453515.0,,False,,,,813.0,3.0,Pace,False,False,night,,,,,,
1407,435,B-55 W. Tank Farm Group 3 Tank 111 HOPr,,,0,2024-02-14 18:27:03.793,u779409,,36.52296,-82.542019,True,True,False,0.316,52.78,,,,False,2.0,0.0,0,0,5.81,False,Volume,,,False,,,,152.0,5.0,Kingsport,False,False,both,1.5,,,,,
1408,435,B-55 W. Tank Farm Group 3 Tank 109 T-1 Final,,,0,2024-02-14 18:31:10.787,u779409,,36.52296,-82.542019,True,True,False,0.2,60.0,,,,False,1.0,0.0,0,0,1.58,False,Volume,,,False,,,,152.0,5.0,Kingsport,False,False,both,1.5,,,,,
1409,435,B-73 Tank Farm Group 3 Tank 142 HOBu,,,0,2024-02-14 18:38:29.623,u779409,,36.522789,-82.54188,True,True,False,2.5,47.78,,,,False,3.0,0.0,0,0,5.47,False,Volume,,,False,,,,97.0,1.0,Kingsport,False,False,both,1.0,,,,,
1410,435,B-82 W. Tank Farm Group 3 Tank 167 10% caustic,,,0,2024-02-14 18:44:15.920,u779409,,36.522153,-82.54137,True,True,False,0.252,23.89,,,,False,2.0,0.0,0,0,13.89,False,Volume,,,False,,,,100.0,4.0,Kingsport,False,False,both,1.0,,,,,
1411,435,B-82 W. Tank Farm Group 3 Tank 168 HOAc/HOPr/HOBu,,,0,2024-02-14 18:47:16.400,u779409,,36.522153,-82.54137,True,True,False,0.234,38.89,,,,False,3.0,0.0,0,0,12.97,False,Volume,,,False,,,,100.0,4.0,Kingsport,False,False,both,1.0,,,,,
1412,435,B-82 W. Tank Farm Group 3 Tank 171 HOAc/HOPr/HOBu,,* Based on worst case temperature for tank 171*,0,2024-02-14 18:52:59.887,u779409,,36.522153,-82.54137,True,True,False,0.25,122.0,,,,False,3.0,0.0,0,0,12.97,False,Volume,,,False,,,,100.0,4.0,Kingsport,False,False,both,1.0,,,,,
1413,435,B-82 W. Tank Farm Group 3 Tank 177 MGo Slurry ,,,0,2024-02-14 19:20:56.783,u779409,,36.522153,-82.54137,True,True,False,1.98,25.0,,,,False,3.0,0.0,0,0,3.32,False,Volume,,,False,,,,100.0,4.0,Kingsport,False,False,both,1.0,,,,,
1414,435,B-82 W. Tank Farm Group 3 Tank 180 No MgO,,,0,2024-02-14 19:25:46.393,u779409,,36.522153,-82.54137,True,True,False,0.505,25.0,,,,False,3.0,0.0,0,0,10.56,False,Volume,,,False,,,,100.0,4.0,Kingsport,False,False,both,1.0,,,,,
1416,435,B-137 Tank Farm Group 3 Tank 401 ,,,0,2024-02-14 19:31:04.323,u779409,,36.521439,-82.539277,True,True,False,15.0,25.0,,,,False,0.75,0.0,0,0,2.34,False,Volume,,,False,,,,221.0,4.0,Kingsport,False,False,both,1.0,,,,,
1417,435,B-137 Tank Farm Group 3 Tank 402,,,0,2024-02-14 19:34:03.567,u779409,,36.521439,-82.5400594,True,True,False,0.4375,25.0,,,,False,3.0,0.0,0,0,12.54,False,Volume,,,False,,,,221.0,4.0,Kingsport,False,False,both,1.0,,,,,
1418,435,B-137 Tank Farm Group 3 Tank 403,,,0,2024-02-14 19:35:52.010,u779409,,36.521439,-82.5400594,True,True,False,0.4375,25.0,,,,False,3.0,0.0,0,0,12.54,False,Volume,,,False,,,,221.0,4.0,Kingsport,False,False,both,1.0,,,,,
1419,435,B-82 W. Tank Farm Group 3 Tank 175 72% HOAc,,,0,2024-02-14 19:51:07.827,u779409,,36.522153,-82.54137,True,True,False,0.506,41.67,,,,False,5.0,0.0,0,0,59.09,False,Volume,,,False,,,,100.0,4.0,Kingsport,True,False,both,1.0,,,,,
1420,421,"There is a leak on the 3""/4"" inlet line to the spheres from truck unloading upstream of the XVs due to corrosion/erosion of the pipe. The 3""/4"" line can be modeled as having a 0.6"" leak per Alklyamines Process Safety Guidance. ###SER--This model will be used for corrosion of 3"" to 4"" loading line into bottom of spheres##",,,0,2024-02-14 14:55:18.890,u777412,,30.591385,-87.136394,True,True,False,100.0,4.44,,,,False,0.6,0.30487,0,0,,False,Mass,10781.0,,False,,,,813.0,3.0,Pace,True,False,night,,,,,,
1421,41,"NT-105B - Case 1- Overpressure with Liquid - Loss of outflow could result in overpressure due to pump P-0401. Note- Running this as liquid. - Relief Calculation reflects it to be a two-phase release.
 - COPY - 02/14/2024 15:15:55 -05:00",,,0,2024-02-14 15:15:55.440,u773253,,51.097448,3.72296,True,True,True,,,1.0,-34.0,52386.18,False,6.0,21.74,6,2,,False,Mass,23762.0,,False,,,,25.8,6.0,Ghent North,False,False,both,6.0,,,,,
1422,170,"Liquid overfill of WE-D-50, overflowing through PSV-WE50-1 at the backflow rate, 30 gpm, based on 200% of design velocity for a 1"" line (from the relief calc summary data file case 1 liquid flow calculator). The composition is based on 40% normal level in WE-50 being methanol plus the remainder being CHDM-S.",,,20,2024-02-14 18:07:29.360,u775107,,36.522037,-82.538617,True,True,True,0.1444,30.0,0.1,30.0,13608.0,False,6.0,1.8,0,0,6.81,False,Volume,,,False,"related to 1116233222, 1116153442",,,212.0,10.0,Kingsport,False,False,both,10.0,,,,,
1423,399,"TTID 1423; LOPA 1117672392, 1117672391, 1117678786, 1118918055, 1118918111, 1118918112, 1119177108. 
Scen1: Pumppuvika 4161/4162 -> vuoto 4150 varoventtiilistä

Rev A 15.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty. Muutettu virtaustiedot uuden laskennan mukaisesti. Pudotettu inventory 100->30tn.",,"1019604_PSV_calc_flow_info_for_TT.zip for flow info -> 1019604_Preliminary_4150_PSV_calc_(712982 calculation report).pdf for flow info.
Temp selected to reflect the correct flash ratio per HYSYS.

4161/4162 pumppuvika
1. Hydrolyysireaktorissa 4200 on kovempi paine kuin sekoitussäiliössä 4150, joten nesteen virtaus sieltä on mahdollista
2. Pinta sekoitussäiliössä nousee
3. Sekoitussäiliö tulee täyteen
4. Paine nousee sekoitussäiliössä 4150
5. Neste purkautuu varoventtiilin 710980 kautta kohti typpitietä
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko
",0,2024-02-15 04:40:35.383,u330435,0.0,65.035212,25.521848,True,True,True,,,0.1,56.33,86267.0,False,6.0,7.0,0,0,,False,Mass,30000.0,,False,"1117672392, 1117672391, 1117678786, 1118918055, 1118918111...",,,332.0,2.3,,False,False,both,0.3,,,,,
1424,341,"MJ - FIX POOL AREA.

Failure of 7R-C-101 due to liquid overfill, release of 29.4% ammonia solution in water, located inside B-7R, 4th Floor - Impact to personnel on production floor only.  results for this model should only consider the ""on-site"" results category.  the results for building and offsite should be ignored.  modeling for building and offsite impact are based on an ""indoor release model"", performed separately.

actual release temperature is 30 deg C.  the temperature input here is artificially lowered such that the ideal VLE calculated vapor pressure matches the actual vapor pressure of the mixture at the release conditions.",,,0,2024-02-15 08:40:17.033,u773253,10.0,36.525283,-82.544515,True,True,False,150.0,-2.0,,,,True,,0.0,0,0,,False,Mass,5850.0,17.3,False,,,,165.0,5.0,Kingsport,True,False,night,3.0,,,,,
1425,438,"If those valves are fully open they will not only have gas, but also liquid going to the 4850 storage tank. The liquid methanol will flash in the 90°C collector. A methanol vapor cloud will be released.",,DN15 with a leak of 7 mm (0.3 inch),21,2024-02-15 08:52:09.913,u331462,0.0,,,True,True,False,113.0,90.0,,,,False,0.3,1.0,0,0,,False,Mass,21302.0,,False,H10-13087 and H10-13069 are fully open.,,,30.0,0.6,,False,False,both,0.2,,,,,
1426,440,"If the temperature in  Acetic Acid /Anhydride Tank 23B exceeds the flashpoint of acetic anhydride (between 5-20% acetic anhydride), a flammable mixture can form in the vapor space within the tank since there is no nitrogen blanketing. If an ignition source is present, a deflagration could occur in Tank 23B, causing equipment damage releasing acetic / anhydride mixture and injury due to POOL FIRE. 

Old target table assigned a consequence ranking of severity to be Serious with no conditional modifiers. Because a deflagration must occur to lead to a toxicity exposure, the conditional modifier for POI was still included.)

Total tank volume = 1337 gallons",,,0,2024-02-15 14:29:11.627,u770776,,36.5252,-82.544637,True,True,False,0.1,90.0,,,,True,,0.61,0,0,3.0359,False,Volume,,464.5,False,,,,128.0,8.0,Kingsport,False,False,both,2.0,,,,,
1427,441,"Water infiltration into 30A during scrubber cleaning

",,,0,2024-02-15 18:03:08.027,u770776,,36.525433,-82.544679,True,True,False,8.5,119.0,,,,True,,0.61,0,0,3.0359,False,Mass,28803.0,46.5,False,,,,128.0,10.0,Kingsport,False,False,both,3.0,,,,,
1428,398,"TTID 1428; LOPA 1117655897, 1117655896, 1117672360, 1119146720, 1119146719, 1119140510, 1119146753.
Scen1: LC-4150 auki -> sekoitussäiliö 4150 hajoaa (CR)
Scen2: Nosturin taakka putoaa -> sekoitussäiliö 4150 hajoaa (CR)

Rev A 16.2.2024 Ensimmäinen versio.
Rev B 22.7.2024 Offsite ja occupancy päivitetty.",,"Inventory 12,100 kg from 100 % tank level

LC-4150 pinnansäätöpiirin vika, venttiiili LV-4150 auki MF-linjassa
1. 4150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar
3. 4150 sekoitussäiliön suunnittelupaine ylittyy yli 2-kertaisesti
4. Sekoitussäiliö hajoaa
5. Vuoto ulos
6. Tulipalo, myrkyllisyysvaikutus
7. Henkilövahinko

Nosturin taakka putoaa sekoitussäiliön 4150 tai sen syöttöputkistojen päälle
1. Laite- tai putkistorikko
2. Suuri vuoto
3. Myrkyllisyysvaikutus
4. Henkilövahinko",0,2024-02-16 02:00:07.353,u330435,,65.03521,25.521807,True,True,False,0.1,46.3,0.1,46.3,87964.0,True,6.0,1.0,0,0,,False,Mass,12100.0,110.0,False,"1117655897, 1117655896, 1117672360, 1119146720, 1119146719",,,322.0,2.3,,False,False,both,0.3,,,,,
1429,398,"TTID 1429; LOPA 1117660278, 1117660277, 1117678734.
Scen1: 4150 alipaine käynnistyksessä -> lommahdus, räjähdys

Rev A 16.2.2024 Ensimmäinen versio.
Rev B 22.7.2024 Offsite ja occupancy päivitetty.

",,"Modeled with feed flow info. Feed continues after explosion.

Käynnistyksessä 4150 sekoitussäiliön neste kylmää ja palautustisleitä ei tule paljoa sekoitussäiliöön
1. 4161/4162 pumpun käynnistäminen voi aiheuttaa pinnan laskua ja alipaineen 4150 sekoitussäiliöön sekä 4120 lauhduttimeen
2. 4120 lauhduttimen lommahdus
3. Laiterikko
4. Vuoto sisäänpäin
5. Räjähdysvaarallinen kaasuseos sekoitussäiliöön 4150
6. Jos laitteen sisällä on syttymislähde, syttyminen ja räjähdys
7. Metyyliformiaattisyöttö jatkuu
8. Myrkyllisyysvaikutus, tulipalo
9. Henkilövahinko",0,2024-02-16 02:29:57.597,u330435,,65.03521,25.521807,True,True,True,0.1,46.3,0.1,51.0,46068.0,False,4.0,6.0,0,0,,False,Mass,100000.0,,False,"1117660278, 1117660277, 1117678734",,,323.0,2.3,,False,False,both,0.3,,,,,
1430,399,"TTID 1430; LOPA 1117672452, 1117672533, 1117672532, 1119146833, 1119146839, 1119146846, 1119146845, 1119146856, 1119146870. 
Scen1: 4161/4162, 4180 tai 4200 tyhjennykset auki keruulinjaan -> 4870 ylitäyttö.
Scen2: 712807 varoventtiili tai ohitus auki  -> 4870 ylitäyttö.

Rev A 16.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty.

",,"Composition per HMB.

VRM-11/VRMV-17 auki tyhjennyslinjaan pumppujen 4161/4162 painepuolelta / H80-13052, VRMV-29 ja H12-13054 käsiventtiilit auki keruulinjaan etulämmönvaihtimelta 4180
1. Sekoitussäiliön 4150 liuosta monttusäiliöön 4870
4. Monttusäiliön 4870 pinta nousee ja mahdollinen ylitäyttö
5. Monttusäiliön trateista liuosta pumppuhuoneen viereen turva-altaan ulkopuolelle
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko

712807 varoventtiili auki, vaikka ei pitäisi / ohitus auki
1. Reaktioliuosta soihtulinjaan
2. Soihdunerottaja 4800 täyttyy nesteestä
3. LI-4880 pinnanmittaus ja automaattityhjennys monttusäiliöön 4870
4. Monttusäiliön 4870 pinta nousee ja mahdollinen ylitäyttö
5. Monttusäiliön trateista liuosta pumppuhuoneen viereen turva-altaan ulkopuolelle
6. Myrkyllisyysvaikutus
7. Henkilövahinko",0,2024-02-16 02:58:59.193,u330435,0.0,65.035212,25.521848,True,True,False,145.0,51.0,145.0,51.0,38569.0,False,0.6,1.0,0,0,,False,Mass,20896.0,,False,"1117672452, 1117672533, 1117672532, 1119146833, 1119146839...",,,314.0,2.3,,False,False,both,0.3,,,,,
1431,399,"TTID 1431; LOPA 1117672463, 1118784878. 
Scen1: Käsiventtiili auki 4200 tyhjennyslinjassa -> vuoto ulos.

Rev A 16.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty",,"Composition per HMB.

H12-13053 käsiventtiili auki hydrolyysireaktorin 4200 tyhjennyslinjassa
1. Sekoitussäiliön 4150 liuosta turva-altaaseen
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",0,2024-02-16 03:06:48.390,u330435,0.0,65.035212,25.521848,True,True,False,145.0,121.0,145.0,51.0,38569.0,False,0.6,1.0,0,0,,False,Mass,20896.0,,False,"1117672463, 1118784878",,,323.0,2.3,,False,False,both,0.3,,,,,
1433,399,"TTID 1433; LOPA 1117672462, 1117672547, 1117672546. 
Scen1: DB&B käsiventtiilit auki 4200 tyhjennyslinjassa -> vuoto ulos.

Rev A 16.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty",,"Composition per HMB.

VKTV-5/VKTV-3 venttiili auki typpilinjassa
1. Hydrolyysi syöttöliuosta 8 barin typpiverkkoon
2. Jos double block and bleedissä on tyhjennys auki, hydrolyysiliuosta MH2:n turva-altaaseen
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",0,2024-02-16 03:11:48.620,u330435,0.0,65.035212,25.521848,True,True,False,145.0,121.0,145.0,51.0,38569.0,False,0.6,1.0,0,0,,False,Mass,20896.0,,False,"1117672462, 1117672547, 1117672546",,,323.0,2.3,,False,False,both,0.3,,,,,
1434,399,"TTID 1434; LOPA 1117672472, 1117672563, 1117672562. 
Scen1: MH2 tehtaan pysäytys ja alhainen höyryn kulutus voivat huonontaa ruiskutuksen toimintaa -> 4180 hajoaa (CR)

Rev A 16.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty",,"Composition per HMB. Inventory from vessel volume.

MH2 tehtaan pysäytys ja alhainen höyryn kulutus voivat huonontaa ruiskutuksen toimintaa
1. 5,5 bar höyryn lämpötila nousee max. 220 C asteeseen
2. Hydrolyysireaktorin 4200 lämpötila nousee samoin, jolloin höyrynpaine voi nousta 34,8 barg
3. Etulämmönvaihtimen 4180 suunnittelupaine ylittyy yli 2,0-kertaisesti
4. Laiterikko
5. Vuoto ulos
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",0,2024-02-16 03:14:01.503,u330435,0.0,65.035212,25.521848,True,True,False,505.0,220.0,145.0,51.0,38569.0,True,0.6,2.0,0,0,,False,Mass,9200.0,95.0,False,"1117672472, 1117672563, 1117672562",,,323.0,2.3,,False,False,both,0.3,,,,,
1440,443,"LC-5150 pinnansäätöpiirin vika, venttiiili LV-5150 auki MF-linjassa (vuoto varoventtiilistä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Neste purkautuu varoventtiilin 712068 kautta kohti typpitietä
3. Tulipalo, myrkyllisyysvaikutus
4. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 09:01:31.667,u330435,,65.03521,25.521807,True,True,True,0.1,46.3,0.1,46.3,87964.0,False,6.0,7.0,0,0,,False,Mass,39908.0,,False,"1117678301, 1117678300",,,16.0,0.9,,False,False,both,0.5,,,,,
1441,443,"FC-5152 virtaussäätöpiirin vika, venttiiili FV-5152 auki vesilinjassa (vuoto alapäässä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar (tislepumppu 8,2 barg, 7,5 TPS-vesi) 
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 09:01:32.520,u330435,,65.03521,25.521807,True,True,False,119.0,46.3,119.0,53.0,20362.0,False,1.0,1.0,0,2,,False,Mass,20896.0,95.0,False,"1117678299, 1117678338, 1117685025, 1117685024",,,16.0,0.9,,False,False,both,0.5,,,,,
1443,443,"Käynnistyksessä 5150 sekoitussäiliön neste kylmää ja palautustisleitä ei tule paljoa sekoitussäiliöön
1. 5161/5162 pumpun käynnistäminen voi aiheuttaa pinnan laskua ja alipaineen 5150 sekoitussäiliöön sekä 5120 lauhduttimeen
2. 5120 lauhduttimen lommahdus
3. Laiterikko
4. Vuoto sisäänpäin
5. Räjähdysvaarallinen kaasuseos sekoitussäiliöön 5150
6. Jos laitteen sisällä on syttymislähde, syttyminen ja räjähdys
7. Metyyliformiaattisyöttö jatkuu
8. Myrkyllisyysvaikutus, tulipalo
9. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 09:01:33.303,u330435,,65.03521,25.521807,True,True,True,0.1,46.3,0.1,51.0,46068.0,False,4.0,6.0,0,0,,False,Mass,100000.0,,False,"1117678544, 1117678543, 1117678542",,,16.0,0.9,,False,False,both,0.5,,,,,
1445,444,"5161/5162 pumppuvika (vuoto yläpäästä)
1. Hydrolyysireaktorissa 5200 on kovempi paine kuin sekoitussäiliössä 5150, joten nesteen virtaus sieltä on mahdollista
2. Pinta sekoitussäiliössä nousee
3. Sekoitussäiliö tulee täyteen ja paine nousee
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 09:01:34.497,u330435,0.0,65.035212,25.521848,True,True,False,113.0,107.9,113.0,56.34,38569.0,False,1.0,7.0,0,0,,False,Mass,100000.0,95.0,False,"1117678396, 1117678414",,,16.0,0.9,,False,False,both,0.5,,,,,
1449,444,"MH3 tehtaan pysäytys ja alhainen höyryn kulutus voivat huonontaa ruiskutuksen toimintaa
1. 5,5 bar höyryn lämpötila nousee max. 220 C asteeseen
2. Hydrolyysireaktorin 5200 lämpötila nousee samoin, jolloin höyrynpaine voi nousta 34,8 barg
3. Etulämmönvaihtimen 5180 suunnittelupaine ylittyy yli 2,0-kertaisesti
4. Laiterikko
5. Vuoto ulos
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 09:01:36.690,u330435,0.0,65.035212,25.521848,True,True,False,505.0,220.0,145.0,51.0,38569.0,True,0.6,2.0,0,0,,False,Mass,9200.0,95.0,False,"1117678600, 1117678599, 1117678615, 1117678614",,,16.0,0.9,,False,False,both,0.5,,,,,
1463,443,"LC-5150 pinnansäätöpiirin vika, venttiiili LV-550 auki MF-linjassa (vuoto alapäässä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar (tislepumppu 8,2 barg, 7,5 TPS-vesi) 
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 05:00:05.510,u330435,,65.03521,25.521807,True,True,False,119.0,46.3,119.0,46.3,87964.0,False,1.0,1.0,0,2,,False,Mass,39908.0,,False,"1117678282, 1117678281, 1117678478, 1117678488",,,16.0,0.9,,False,False,both,0.5,,,,,
1464,444,"5161/5162 pumppuvika (vuoto alapäästä)
1. Hydrolyysireaktorissa 5200 on kovempi paine kuin sekoitussäiliössä 5150, joten nesteen virtaus sieltä on mahdollista
2. Pinta sekoitussäiliössä nousee
3. Sekoitussäiliö tulee täyteen ja paine nousee
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus, tulipalo
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 05:25:37.823,u330435,0.0,65.035212,25.521848,True,True,False,113.0,107.9,113.0,56.34,38569.0,False,1.0,1.0,0,0,,False,Mass,100000.0,95.0,False,"1117678396, 1117678414",,,16.0,0.9,,False,False,both,0.5,,,,,
1465,444,"5161/5162 pumppuvika (vuoto varoventtiilistä)
1. Hydrolyysireaktorissa 5200 on kovempi paine kuin sekoitussäiliössä 5150, joten nesteen virtaus sieltä on mahdollista
2. Pinta sekoitussäiliössä nousee
3. Sekoitussäiliö tulee täyteen
4. Paine nousee sekoitussäiliössä 5150
5. Neste purkautuu varoventtiilin 712068 kautta kohti typpitietä
6. Myrkyllisyysvaikutus
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 05:36:47.653,u330435,0.0,65.035212,25.521848,True,True,True,0.1,107.9,0.1,56.34,38569.0,False,6.0,7.0,0,0,,False,Mass,100000.0,,False,"1117678413, 1117678412, 1117678572",,,16.0,0.9,,False,False,both,0.5,,,,,
1466,443,"LC-5150 pinnansäätöpiirin vika, venttiiili LV-550 auki MF-linjassa (vuoto yläpäässä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar (tislepumppu 8,2 barg, 7,5 TPS-vesi) 
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus
7. Henkilövahinko",,MH2 tasetiedot,0,2024-02-16 05:54:52.243,u330435,,65.03521,25.521807,True,True,False,119.0,46.3,119.0,46.3,87964.0,False,1.0,7.0,0,0,,False,Mass,39908.0,95.0,False,"1117678282, 1117678281, 1117678478, 1117678488",,,16.0,0.9,,False,False,both,0.5,,,,,
1467,443,"FC-5152 virtaussäätöpiirin vika, venttiiili FV-5152 auki vesilinjassa (vuoto yläpäässä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar (tislepumppu 8,2 barg, 7,5 TPS-vesi) 
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos
6. Myrkyllisyysvaikutus",,MH2 tasetiedot,0,2024-02-16 05:59:03.933,u330435,,65.03521,25.521807,True,True,False,119.0,46.3,119.0,53.0,20362.0,False,1.0,7.0,0,2,,False,Mass,20896.0,95.0,False,"1117678299, 1117678338, 1117685025, 1117685024",,,16.0,0.9,,False,False,both,0.5,,,,,
1468,443,"FC-5152 virtaussäätöpiirin vika, venttiiili FV-5152 auki vesilinjassa (vuoto varoventtiilistä)
1. 5150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar (tislepumppu 8,2 barg, 7,5 TPS-vesi) 
3. 5150 sekoitussäiliön suunnittelupaine (6 barg) ylittyy yli 1,3-kertaisesti
4. Sekoitussäiliössä laippavuoto
5. Vuoto ulos",,MH2 tasetiedot,0,2024-02-16 05:59:41.340,u330435,,65.03521,25.521807,True,True,True,0.1,51.7,0.1,53.0,20362.0,False,6.0,7.0,0,2,,False,Mass,20896.0,,False,,,,16.0,0.9,,False,False,both,0.5,,,,,
1469,398,"TTID 1469; LOPA 1117655989, 1117655988, 1117678735.
Scen1: FC-4152 auki -> sekoitussäiliö 4150 hajoaa (CR).

Rev A 16.2.2024 Ensimmäinen versio.
Rev B 22.7.2024 Offsite ja occupancy päivitetty.",,"1019604_PSV_calc_flow_info_for_TT.zip for flow info.
Inventory 12,100 kg from 100 % tank level

FC-4152 virtaussäätöpiirin vika, venttiiili FV-4152 auki vesilinjassa
1. 4150 Sekoitussäiliö täyttyy ja ylitäyttyy
2. Tulevan metyyliformiaatin paine noin 7,5 bar
3. 4150 sekoitussäiliön suunnittelupaine ylityy yli 2-kertaisesti
4. Sekoitussäiliö hajoaa
5. Vuoto ulos
6. Tulipalo, myrkyllisyysvaikutus
7. Henkilövahinko",0,2024-02-16 06:08:42.157,u330435,,65.03521,25.521807,True,True,False,0.1,46.3,0.1,53.0,20362.0,True,6.0,7.0,0,2,,False,Mass,12100.0,95.0,False,"1117655989, 1117655988, 1117678735",,,322.0,2.3,,False,False,both,0.3,,,,,
1470,399,"TTID 1470; LOPA 1117672394, 1117685005, 1117685004, 1118776817, 1118776824, 1118918037, 1118918050, 1118918049, 1118918048. 
Scen1: Pumppuvika 4161/4162 -> 4150 hajoaa (CR)

Rev A 16.2.2024 Ensimmäinen versio. 
Rev B 22.7.2024 Offsite ja occupancy päivitetty.

",,"Inventory 12,100 kg from 100 % tank level

4161/4162 pumppuvika
1. Hydrolyysireaktorissa 4200 on kovempi paine kuin sekoitussäiliössä 4150, joten nesteen virtaus sieltä on mahdollista
2. Pinta sekoitussäiliössä nousee
3. Sekoitussäiliö tulee täyteen
4. Paine nousee sekoitussäiliössä 4150
5. 4150 sekoitussäiliön suunnittelupaine ylittyy yli 2-kertaisesti
6. Sekoitussäiliö hajoaa
7. Vuoto ulos
8. Tulipalo, myrkyllisyysvaikutus
9. Henkilövahinko",0,2024-02-16 06:14:21.977,u330435,0.0,65.035212,25.521848,True,True,False,0.1,56.34,0.1,56.34,38569.0,True,4.0,1.0,0,0,,False,Mass,12100.0,95.0,False,"1117672394, 1117685005, 1117685004, 1118776817, 1118776824",,,323.0,2.3,,False,False,both,0.3,,,,,
